2024-11-16 12:34:15 [ERROR]: Ошибка синхронизации базы данных:
2024-11-16 15:26:27 [ERROR]: Ошибка синхронизации базы данных: Access denied for user 'db_user'@'localhost' (using password: YES)
2024-11-22 11:40:07 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-22 17:12:02 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-23 03:42:38 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-23 07:11:16 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-23 07:11:29 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-24 04:10:02 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-24 04:10:15 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-24 06:23:36 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-24 06:49:34 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-24 07:41:43 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-24 20:18:19 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-24 20:56:35 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-24 21:51:35 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-24 22:05:11 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-25 01:03:36 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-25 01:48:24 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-25 08:14:08 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-25 14:09:51 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-25 14:10:08 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
